,Date,Open,High,Low,Close,Volume,Adjusted,Returns,Volume_Change,Price_Range,RSI
count,1464,1464.0,1464.0,1464.0,1464.0,1464.0,1464.0,1464.0,1464.0,1464.0,1464.0
mean,2022-12-19 00:21:38.360655616,234.91418401269965,240.2071641664036,229.25867570423688,234.8602508716896,120080916.73497267,234.8602508716896,0.0016234327752207534,-0.0010460648866100189,0.04830985993916713,53.03994775797478
min,2020-01-23 00:00:00,24.9799995422363,26.9906673431396,23.3673324584961,24.0813331604004,29401800.0,24.0813331604004,-0.236517894457676,-1.34202194864329,0.0084318641360706,16.5641258853004
25%,2021-07-06 18:00:00,183.949996948242,186.5,179.80750274658226,183.2374992370605,76051450.0,183.2374992370605,-0.0204494686806247,-0.171958100859041,0.03201826333734292,44.1478967713079
50%,2022-12-15 12:00:00,234.0449981689455,238.995002746582,229.2449951171875,234.93666839599598,99974700.0,234.93666839599598,0.0016585624692393,-0.02310965439274425,0.04220984392929575,52.36866408364335
75%,2024-06-03 06:00:00,287.3600006103515,294.79249572753923,280.50083160400396,288.1274948120118,136530675.0,288.1274948120118,0.02348294000857345,0.15720112443831774,0.057042457673157604,61.80755445352815
max,2025-11-17 00:00:00,475.899993896484,488.540008544922,457.510009765625,479.859985351562,914082000.0,479.859985351562,0.204490580001601,1.37308237823424,0.218735392234253,94.1979834518968
std,,91.94736532709419,93.79479359787275,89.74241763586731,91.78344467299057,74876184.88047978,91.78344467299057,0.04210512800913155,0.2753474779162473,0.0255999597852913,13.554471120492074
