"Modele","Type","RMSE_Train","RMSE_Test","MAE_Train","MAE_Test","MAPE_Test","AIC","BIC","p_value_Residus"
"ARIMA","Returns",0.0427142748294751,0.0430627903645463,0.0306221980138016,0.0339271341491297,88.9906503173877,-4561.50791122169,-4535.58855764638,0.389081817554354
"SARIMA","Returns",0.0428736721059674,0.0418565921272705,0.0306606694020911,0.0337982330602562,100,-4559.75302859114,-4554.56915787608,0.0831054839848719
"ARIMAX","Returns",0.0397811608861382,0.0323751866277773,0.0288135444830962,0.025377252121999,122.964894606428,-4740.99507439976,-4694.34023796419,0.487418879354609
"ETS","Prix",9.34453766637038,47.0386014242394,6.48269344930218,44.1160673631966,15.7608863332648,15122.6645313634,15148.5838849387,0.377192109889355
"Prophet","Prix",NA,99.2331788830785,NA,98.9746343283579,NA,NA,NA,NA
"ARCH(1)","Volatilité",NA,NA,NA,NA,NA,-3.46915196750519,-3.4573525652706,NA
"GARCH_Normal","Volatilité",NA,NA,NA,NA,NA,-3.55214960257391,-3.53641706626113,NA
"GARCH_Student-t","Volatilité",NA,NA,NA,NA,NA,-3.63790740192272,-3.61824173153174,NA
"VAR(3)","Multivarié",NA,NA,NA,NA,NA,NA,NA,NA
