"Modele","Mu","Omega","Alpha1","Beta1","Shape","Persistence"
"ARCH(1)",-0.111243122222094,3.41974148527102e-06,0.998999999841011,NA,NA,0.998999999841011
"GARCH(1,1) Normal",0.00167784859410677,5.22405600299347e-05,0.0607177951268986,0.911183657239913,NA,0.971901452366812
"GARCH(1,1) Student-t",0.00127569366977773,1.8322815469819e-05,0.0543622726949805,0.940048480790308,4.64363260154335,0.994410753485289
