"Modèle","RMSE_Test","MAE_Test","MAPE_Test","AIC","BIC"
"ETS",32.5254190717844,28.7092563407718,10.3023486300451,15108.8732509774,15134.7888094862
"Prophet",116.097585854055,114.149787620703,NA,NA,NA
