"Modèle","AIC","BIC","LogLikelihood"
"ARCH(1) Normal",0.355786668940406,0.367593301518409,231.285521497257
"GARCH(1,1) Normal",-3.55274476695082,-3.53700259018015,-2343.48242903712
"GARCH(1,1) Student-t",-3.63879300259086,-3.61911528162753,-2401.14519220608
