"Modèle","RMSE_Train","RMSE_Test","MAE_Train","MAE_Test","MAPE_Test","AIC","BIC"
"ARIMA",0.042669357912255,0.0464024510425374,0.030576748087347,0.0373965458818588,90.3156378188321,-4558.80612416703,-4527.70745395657
"SARIMA",0.0428589328109385,0.0451907730955112,0.030639014050644,0.0372667250689507,100,-4557.19759448209,-4552.01448278035
"ARIMAX",0.0397992688054894,0.0326991590262123,0.0288423254707715,0.0257067042740185,122.572925118395,-4738.20373522748,-4696.73884161354
